symbol,variant,strategy,month,trades,pnl,wins,losses
XAUUSDm,B_momo_london_adx18_rr1.5_atrexp0,momentum,2025-05,11,121.11378997993906,6,5
XAUUSDm,B_momo_london_adx18_rr1.5_atrexp0,momentum,2025-06,12,-53.14840094651693,5,7
XAUUSDm,B_momo_london_adx18_rr1.5_atrexp0,momentum,2025-07,10,-24.23506816412992,4,6
XAUUSDm,B_momo_london_adx18_rr1.5_atrexp0,momentum,2025-08,8,-55.88260206529317,3,5
XAUUSDm,B_momo_london_adx18_rr1.5_atrexp0,momentum,2025-09,7,-59.73541915838875,2,5
XAUUSDm,B_momo_london_adx18_rr1.5_atrexp0,momentum,2025-10,9,-109.7482855131639,2,7
XAUUSDm,B_momo_london_adx18_rr1.5_atrexp0,momentum,2025-11,13,-205.53194737571442,2,11
XAUUSDm,B_momo_london_adx18_rr1.5_atrexp0,momentum,2025-12,13,-71.32699995416417,5,8
XAUUSDm,B_momo_london_adx18_rr1.5_atrexp0,momentum,2026-01,6,-34.51824419243159,2,4
XAUUSDm,B_momo_london_adx18_rr1.5_atrexp0,momentum,2026-02,5,-36.80434808707378,2,3
XAUUSDm,B_momo_london_adx18_rr1.5_atrexp0,momentum,2026-03,12,-62.135169220089956,4,8
XAUUSDm,B_momo_london_adx18_rr1.5_atrexp0,momentum,2026-04,11,-157.9796780918528,2,9
XAUUSDm,B_momo_london_adx18_rr1.5_atrexp0,momentum,2026-05,3,45.54482600721504,2,1
XAUUSDm,B_momo_london_adx18_rr1.5_atrexp1,momentum,2025-01,9,-61.50391364030936,3,6
XAUUSDm,B_momo_london_adx18_rr1.5_atrexp1,momentum,2025-02,4,-1.1028210194505554,2,2
XAUUSDm,B_momo_london_adx18_rr1.5_atrexp1,momentum,2025-03,7,-2.3370045757961044,3,4
XAUUSDm,B_momo_london_adx18_rr1.5_atrexp1,momentum,2025-04,2,-52.95226277861708,0,2
XAUUSDm,B_momo_london_adx18_rr1.5_atrexp1,momentum,2025-05,5,68.70231877087917,3,2
XAUUSDm,B_momo_london_adx18_rr1.5_atrexp1,momentum,2025-06,9,-34.55285907470011,4,5
XAUUSDm,B_momo_london_adx18_rr1.5_atrexp1,momentum,2025-07,7,-67.26959809717792,2,5
XAUUSDm,B_momo_london_adx18_rr1.5_atrexp1,momentum,2025-08,6,-63.922057426298906,2,4
XAUUSDm,B_momo_london_adx18_rr1.5_atrexp1,momentum,2025-09,5,-131.70248840640002,0,5
XAUUSDm,B_momo_london_adx18_rr1.5_atrexp1,momentum,2025-10,6,-92.6853157139041,1,5
XAUUSDm,B_momo_london_adx18_rr1.5_atrexp1,momentum,2025-11,4,-43.17293984194754,1,3
XAUUSDm,B_momo_london_adx18_rr1.5_atrexp1,momentum,2025-12,4,45.97420197817499,3,1
XAUUSDm,B_momo_london_adx18_rr1.5_atrexp1,momentum,2026-01,2,9.92666348404839,1,1
XAUUSDm,B_momo_london_adx18_rr1.5_atrexp1,momentum,2026-02,2,10.356477001793607,1,1
XAUUSDm,B_momo_london_adx18_rr1.5_atrexp1,momentum,2026-03,6,32.177868549258484,3,3
XAUUSDm,B_momo_london_adx18_rr1.5_atrexp1,momentum,2026-04,8,-84.63040385088557,2,6
XAUUSDm,B_momo_london_adx18_rr1.5_atrexp1,momentum,2026-05,2,10.068674707984254,1,1
XAUUSDm,B_momo_london_adx18_rr2_atrexp0,momentum,2025-01,9,-38.33832525845631,3,6
XAUUSDm,B_momo_london_adx18_rr2_atrexp0,momentum,2025-02,11,-72.23798241498606,3,8
XAUUSDm,B_momo_london_adx18_rr2_atrexp0,momentum,2025-03,10,-49.71237672344953,3,7
XAUUSDm,B_momo_london_adx18_rr2_atrexp0,momentum,2025-04,9,-165.15487589546282,1,8
XAUUSDm,B_momo_london_adx18_rr2_atrexp0,momentum,2025-05,11,104.78864347710592,5,6
XAUUSDm,B_momo_london_adx18_rr2_atrexp0,momentum,2025-06,12,-15.697063325188552,5,7
XAUUSDm,B_momo_london_adx18_rr2_atrexp0,momentum,2025-07,10,-104.61267946453857,2,8
XAUUSDm,B_momo_london_adx18_rr2_atrexp0,momentum,2025-08,8,-62.01782554801083,3,5
XAUUSDm,B_momo_london_adx18_rr2_atrexp0,momentum,2025-09,6,-8.948519869105702,2,4
XAUUSDm,B_momo_london_adx18_rr2_atrexp0,momentum,2025-10,9,-84.7457350760462,2,7
XAUUSDm,B_momo_london_adx18_rr2_atrexp0,momentum,2025-11,13,-180.5623328691209,2,11
XAUUSDm,B_momo_london_adx18_rr2_atrexp0,momentum,2025-12,13,-96.31792154338008,4,9
XAUUSDm,B_momo_london_adx18_rr2_atrexp0,momentum,2026-01,6,-9.519007047413005,2,4
XAUUSDm,B_momo_london_adx18_rr2_atrexp0,momentum,2026-02,5,-99.21412559317781,1,4
XAUUSDm,B_momo_london_adx18_rr2_atrexp0,momentum,2026-03,12,-12.129357630111745,4,8
XAUUSDm,B_momo_london_adx18_rr2_atrexp0,momentum,2026-04,11,-155.33152338418313,2,9
XAUUSDm,B_momo_london_adx18_rr2_atrexp0,momentum,2026-05,3,28.58893801160382,2,1
XAUUSDm,B_momo_london_adx18_rr2_atrexp1,momentum,2025-01,8,-71.78000315937729,2,6
XAUUSDm,B_momo_london_adx18_rr2_atrexp1,momentum,2025-02,4,11.529206319087368,2,2
XAUUSDm,B_momo_london_adx18_rr2_atrexp1,momentum,2025-03,7,35.171006106226116,3,4
XAUUSDm,B_momo_london_adx18_rr2_atrexp1,momentum,2025-04,2,-52.94933797319767,0,2
XAUUSDm,B_momo_london_adx18_rr2_atrexp1,momentum,2025-05,5,106.2209250826631,3,2
XAUUSDm,B_momo_london_adx18_rr2_atrexp1,momentum,2025-06,9,-9.642238692566515,4,5
XAUUSDm,B_momo_london_adx18_rr2_atrexp1,momentum,2025-07,7,-117.28122147343504,1,6
XAUUSDm,B_momo_london_adx18_rr2_atrexp1,momentum,2025-08,6,-51.43052611848712,2,4
XAUUSDm,B_momo_london_adx18_rr2_atrexp1,momentum,2025-09,5,-131.70180967588925,0,5
XAUUSDm,B_momo_london_adx18_rr2_atrexp1,momentum,2025-10,6,-80.18309357061258,1,5
XAUUSDm,B_momo_london_adx18_rr2_atrexp1,momentum,2025-11,4,-30.676934761506395,1,3
XAUUSDm,B_momo_london_adx18_rr2_atrexp1,momentum,2025-12,4,-4.037296285621469,2,2
XAUUSDm,B_momo_london_adx18_rr2_atrexp1,momentum,2026-01,2,22.43077991249018,1,1
XAUUSDm,B_momo_london_adx18_rr2_atrexp1,momentum,2026-02,2,-52.14947933355334,0,2
XAUUSDm,B_momo_london_adx18_rr2_atrexp1,momentum,2026-03,6,69.6852070727363,3,3
XAUUSDm,B_momo_london_adx18_rr2_atrexp1,momentum,2026-04,8,-81.943189059394,2,6
XAUUSDm,B_momo_london_adx18_rr2_atrexp1,momentum,2026-05,2,-19.393968587602362,1,1
XAUUSDm,B_momo_london_adx18_rr2.5_atrexp0,momentum,2025-01,9,-13.340825258457826,3,6
XAUUSDm,B_momo_london_adx18_rr2.5_atrexp0,momentum,2025-02,11,-34.739232414986574,3,8
XAUUSDm,B_momo_london_adx18_rr2.5_atrexp0,momentum,2025-03,10,-36.48561687985388,3,7
XAUUSDm,B_momo_london_adx18_rr2.5_atrexp0,momentum,2025-04,9,-152.65362589546282,1,8
XAUUSDm,B_momo_london_adx18_rr2.5_atrexp0,momentum,2025-05,11,124.28023560445264,5,6
XAUUSDm,B_momo_london_adx18_rr2.5_atrexp0,momentum,2025-06,12,-65.70456332518854,4,8
XAUUSDm,B_momo_london_adx18_rr2.5_atrexp0,momentum,2025-07,10,-132.61089922926192,2,8
XAUUSDm,B_momo_london_adx18_rr2.5_atrexp0,momentum,2025-08,8,-49.51657554800968,3,5
XAUUSDm,B_momo_london_adx18_rr2.5_atrexp0,momentum,2025-09,6,-71.4422698691052,1,5
XAUUSDm,B_momo_london_adx18_rr2.5_atrexp0,momentum,2025-10,9,-59.74323507604606,2,7
XAUUSDm,B_momo_london_adx18_rr2.5_atrexp0,momentum,2025-11,13,-155.56233286912226,2,11
XAUUSDm,B_momo_london_adx18_rr2.5_atrexp0,momentum,2025-12,13,-146.06061430054544,3,10
XAUUSDm,B_momo_london_adx18_rr2.5_atrexp0,momentum,2026-01,6,15.48099295258585,2,4
XAUUSDm,B_momo_london_adx18_rr2.5_atrexp0,momentum,2026-02,5,-99.21412559317781,1,4
XAUUSDm,B_momo_london_adx18_rr2.5_atrexp0,momentum,2026-03,12,-12.129412191068571,4,8
XAUUSDm,B_momo_london_adx18_rr2.5_atrexp0,momentum,2026-04,11,-142.83027338418313,2,9
XAUUSDm,B_momo_london_adx18_rr2.5_atrexp0,momentum,2026-05,3,41.09018801160382,2,1
XAUUSDm,B_momo_london_adx18_rr2.5_atrexp1,momentum,2025-01,8,-46.782503159377285,2,6
XAUUSDm,B_momo_london_adx18_rr2.5_atrexp1,momentum,2025-02,4,24.02795631908737,2,2
XAUUSDm,B_momo_london_adx18_rr2.5_atrexp1,momentum,2025-03,7,48.45056155838071,3,4
XAUUSDm,B_momo_london_adx18_rr2.5_atrexp1,momentum,2025-04,2,-52.94933797319767,0,2
XAUUSDm,B_momo_london_adx18_rr2.5_atrexp1,momentum,2025-05,5,102.05053852072828,3,2
XAUUSDm,B_momo_london_adx18_rr2.5_atrexp1,momentum,2025-06,9,-72.1484886925671,3,6
XAUUSDm,B_momo_london_adx18_rr2.5_atrexp1,momentum,2025-07,7,-104.7799714734359,1,6
XAUUSDm,B_momo_london_adx18_rr2.5_atrexp1,momentum,2025-08,6,-38.929276118487124,2,4
